2020-02-28 19:38:44.407643	------------------------------
2020-02-28 19:38:44.407643	首个交易日：	2016-02-02
2020-02-28 19:38:44.407643	最后交易日：	2019-12-31
2020-02-28 19:38:44.408640	总交易日：	954
2020-02-28 19:38:44.408640	盈利交易日：	453
2020-02-28 19:38:44.408640	亏损交易日：	462
2020-02-28 19:38:44.408640	起始资金：	1,000,000.00
2020-02-28 19:38:44.409136	结束资金：	1,683,085.04
2020-02-28 19:38:44.409136	总收益率：	68.31%
2020-02-28 19:38:44.419611	年化收益：	17.18%
2020-02-28 19:38:44.419611	最大回撤: 	-437,422.74
2020-02-28 19:38:44.419611	百分比最大回撤: -25.60%
2020-02-28 19:38:44.419611	最长回撤天数: 	334
2020-02-28 19:38:44.419611	总盈亏：	683,085.04
2020-02-28 19:38:44.419611	总手续费：	20,414.96
2020-02-28 19:38:44.419611	总滑点：	77,750.00
2020-02-28 19:38:44.420608	总成交金额：	680,498,750.00
2020-02-28 19:38:44.420608	总成交笔数：	311
2020-02-28 19:38:44.420608	日均盈亏：	716.02
2020-02-28 19:38:44.420608	日均手续费：	21.40
2020-02-28 19:38:44.420608	日均滑点：	81.50
2020-02-28 19:38:44.420608	日均成交金额：	713,311.06
2020-02-28 19:38:44.420608	日均成交笔数：	0.3259958071278826
2020-02-28 19:38:44.420608	日均收益率：	0.05%
2020-02-28 19:38:44.420608	收益标准差：	1.29%
2020-02-28 19:38:44.421606	Sharpe Ratio：	0.66
2020-02-28 19:38:44.421606	收益回撤比：	2.67
