2020-02-17 22:08:58.275953	开始加载历史数据
2020-02-17 22:09:16.119488	策略初始化完成
2020-02-17 22:09:16.119488	开始回放历史数据
2020-02-17 22:09:16.536373	历史数据回放结束
2020-02-17 22:09:16.536373	开始计算逐日盯市盈亏
2020-02-17 22:09:16.536373	成交记录为空，无法计算
2020-02-17 22:09:16.536373	开始计算策略统计指标
2020-02-17 22:09:16.536373	------------------------------
2020-02-17 22:09:16.536373	首个交易日：	
2020-02-17 22:09:16.536373	最后交易日：	
2020-02-17 22:09:16.536373	总交易日：	0
2020-02-17 22:09:16.536373	盈利交易日：	0
2020-02-17 22:09:16.536373	亏损交易日：	0
2020-02-17 22:09:16.536373	起始资金：	1,000,000.00
2020-02-17 22:09:16.536373	结束资金：	0.00
2020-02-17 22:09:16.536373	总收益率：	0.00%
2020-02-17 22:09:16.536373	年化收益：	0.00%
2020-02-17 22:09:16.536373	最大回撤: 	0.00
2020-02-17 22:09:16.536373	百分比最大回撤: 0.00%
2020-02-17 22:09:16.536373	最长回撤天数: 	0
2020-02-17 22:09:16.536373	总盈亏：	0.00
2020-02-17 22:09:16.536373	总手续费：	0.00
2020-02-17 22:09:16.536373	总滑点：	0.00
2020-02-17 22:09:16.536373	总成交金额：	0.00
2020-02-17 22:09:16.536373	总成交笔数：	0
2020-02-17 22:09:16.536373	日均盈亏：	0.00
2020-02-17 22:09:16.536373	日均手续费：	0.00
2020-02-17 22:09:16.536373	日均滑点：	0.00
2020-02-17 22:09:16.536373	日均成交金额：	0.00
2020-02-17 22:09:16.536373	日均成交笔数：	0
2020-02-17 22:09:16.536373	日均收益率：	0.00%
2020-02-17 22:09:16.536373	收益标准差：	0.00%
2020-02-17 22:09:16.536373	Sharpe Ratio：	0.00
2020-02-17 22:09:16.536373	收益回撤比：	0.00
