2020-02-23 09:20:23.126596	开始加载历史数据
2020-02-23 09:20:32.581310	策略初始化完成
2020-02-23 09:20:32.581310	开始回放历史数据
2020-02-23 09:20:34.833285	历史数据回放结束
2020-02-23 09:20:34.833285	开始计算逐日盯市盈亏
2020-02-23 09:20:34.838272	逐日盯市盈亏计算完成
2020-02-23 09:20:34.838272	开始计算策略统计指标
2020-02-23 09:20:34.854229	------------------------------
2020-02-23 09:20:34.854229	首个交易日：	2016-02-02
2020-02-23 09:20:34.855226	最后交易日：	2019-12-31
2020-02-23 09:20:34.855226	总交易日：	954
2020-02-23 09:20:34.855226	盈利交易日：	415
2020-02-23 09:20:34.855226	亏损交易日：	448
2020-02-23 09:20:34.855226	起始资金：	1,000,000.00
2020-02-23 09:20:34.855226	结束资金：	1,237,835.71
2020-02-23 09:20:34.855226	总收益率：	23.78%
2020-02-23 09:20:34.855226	年化收益：	5.98%
2020-02-23 09:20:34.855226	最大回撤: 	-348,040.85
2020-02-23 09:20:34.855226	百分比最大回撤: -27.33%
2020-02-23 09:20:34.855226	最长回撤天数: 	64
2020-02-23 09:20:34.855226	总盈亏：	237,835.71
2020-02-23 09:20:34.855226	总手续费：	15,164.29
2020-02-23 09:20:34.855226	总滑点：	58,250.00
2020-02-23 09:20:34.855226	总成交金额：	505,476,250.00
2020-02-23 09:20:34.855226	总成交笔数：	233
2020-02-23 09:20:34.855226	日均盈亏：	249.30
2020-02-23 09:20:34.855226	日均手续费：	15.90
2020-02-23 09:20:34.855226	日均滑点：	61.06
2020-02-23 09:20:34.855226	日均成交金额：	529,849.32
2020-02-23 09:20:34.855226	日均成交笔数：	0.24423480083857443
2020-02-23 09:20:34.855226	日均收益率：	0.02%
2020-02-23 09:20:34.855226	收益标准差：	1.58%
2020-02-23 09:20:34.855226	Sharpe Ratio：	0.22
2020-02-23 09:20:34.855226	收益回撤比：	0.87
