2020-02-23 20:33:46.585490	成交记录为空，无法计算
2020-02-23 20:33:46.585490	------------------------------
2020-02-23 20:33:46.585490	首个交易日：	
2020-02-23 20:33:46.585490	最后交易日：	
2020-02-23 20:33:46.585490	总交易日：	0
2020-02-23 20:33:46.585490	盈利交易日：	0
2020-02-23 20:33:46.585490	亏损交易日：	0
2020-02-23 20:33:46.585490	起始资金：	1,000,000.00
2020-02-23 20:33:46.585490	结束资金：	0.00
2020-02-23 20:33:46.585490	总收益率：	0.00%
2020-02-23 20:33:46.585490	年化收益：	0.00%
2020-02-23 20:33:46.585490	最大回撤: 	0.00
2020-02-23 20:33:46.585490	百分比最大回撤: 0.00%
2020-02-23 20:33:46.585490	最长回撤天数: 	0
2020-02-23 20:33:46.585490	总盈亏：	0.00
2020-02-23 20:33:46.585490	总手续费：	0.00
2020-02-23 20:33:46.585490	总滑点：	0.00
2020-02-23 20:33:46.585490	总成交金额：	0.00
2020-02-23 20:33:46.585490	总成交笔数：	0
2020-02-23 20:33:46.585490	日均盈亏：	0.00
2020-02-23 20:33:46.585490	日均手续费：	0.00
2020-02-23 20:33:46.585490	日均滑点：	0.00
2020-02-23 20:33:46.585490	日均成交金额：	0.00
2020-02-23 20:33:46.585490	日均成交笔数：	0
2020-02-23 20:33:46.585490	日均收益率：	0.00%
2020-02-23 20:33:46.585490	收益标准差：	0.00%
2020-02-23 20:33:46.585490	Sharpe Ratio：	0.00
2020-02-23 20:33:46.585490	收益回撤比：	0.00
