2020-02-23 22:00:33.218931	------------------------------
2020-02-23 22:00:33.218931	首个交易日：	2016-02-02
2020-02-23 22:00:33.218931	最后交易日：	2019-12-31
2020-02-23 22:00:33.218931	总交易日：	954
2020-02-23 22:00:33.218931	盈利交易日：	225
2020-02-23 22:00:33.218931	亏损交易日：	243
2020-02-23 22:00:33.218931	起始资金：	1,000,000.00
2020-02-23 22:00:33.218931	结束资金：	1,749,821.41
2020-02-23 22:00:33.218931	总收益率：	74.98%
2020-02-23 22:00:33.218931	年化收益：	18.86%
2020-02-23 22:00:33.218931	最大回撤: 	-190,258.39
2020-02-23 22:00:33.218931	百分比最大回撤: -14.29%
2020-02-23 22:00:33.218931	最长回撤天数: 	79
2020-02-23 22:00:33.218931	总盈亏：	749,821.41
2020-02-23 22:00:33.218931	总手续费：	8,678.59
2020-02-23 22:00:33.218931	总滑点：	32,750.00
2020-02-23 22:00:33.218931	总成交金额：	289,286,250.00
2020-02-23 22:00:33.218931	总成交笔数：	131
2020-02-23 22:00:33.218931	日均盈亏：	785.98
2020-02-23 22:00:33.218931	日均手续费：	9.10
2020-02-23 22:00:33.218931	日均滑点：	34.33
2020-02-23 22:00:33.218931	日均成交金额：	303,235.06
2020-02-23 22:00:33.218931	日均成交笔数：	0.13731656184486374
2020-02-23 22:00:33.218931	日均收益率：	0.06%
2020-02-23 22:00:33.218931	收益标准差：	0.87%
2020-02-23 22:00:33.218931	Sharpe Ratio：	1.04
2020-02-23 22:00:33.218931	收益回撤比：	5.25
